,linear_mul,loss,lr,lstm_size,trial_num
0,2.0,0.02861749369870214,0.001,16.0,0.0
1,4.0,0.03084476018214927,0.001,16.0,0.0
2,8.0,0.05534530693993849,0.001,16.0,0.0
3,2.0,0.010508567533072303,0.001,32.0,0.0
4,4.0,0.016425100319525775,0.001,32.0,0.0
5,8.0,0.03152784628464895,0.001,32.0,0.0
6,2.0,0.005654659368755186,0.001,64.0,0.0
7,4.0,0.007186653092503548,0.001,64.0,0.0
8,8.0,0.016435984248185858,0.001,64.0,0.0
9,2.0,0.0025582232457749985,0.001,128.0,0.0
10,4.0,0.0024268558824106176,0.001,128.0,0.0
11,8.0,0.00813537258106996,0.001,128.0,0.0
12,2.0,0.0008111640653463409,0.01,16.0,0.0
13,4.0,0.0006388232560472234,0.01,16.0,0.0
14,8.0,0.002068555893321686,0.01,16.0,0.0
15,2.0,0.0004421083679463824,0.01,32.0,0.0
16,4.0,0.00040802560055025797,0.01,32.0,0.0
17,8.0,0.00047813376380979796,0.01,32.0,0.0
18,2.0,0.0002008230153211009,0.01,64.0,0.0
19,4.0,9.062685100669863e-05,0.01,64.0,0.0
20,8.0,0.0001216891105286777,0.01,64.0,0.0
21,2.0,7.908027777482537e-05,0.01,128.0,0.0
22,4.0,7.137879219953902e-05,0.01,128.0,0.0
23,8.0,8.142868597026202e-05,0.01,128.0,0.0
24,2.0,0.00026013488669003197,0.1,16.0,0.0
25,4.0,0.0015153910516186014,0.1,16.0,0.0
26,8.0,8.971435069243478e-05,0.1,16.0,0.0
27,2.0,6.176149401974672e-05,0.1,32.0,0.0
28,4.0,2.081971088580972e-05,0.1,32.0,0.0
29,8.0,0.0023560354865741614,0.1,32.0,0.0
30,2.0,0.00047674022703979383,0.1,64.0,0.0
31,4.0,2.778442373763777e-05,0.1,64.0,0.0
32,8.0,1.5148747640042155e-05,0.1,64.0,0.0
33,2.0,0.0004716335516765385,0.1,128.0,0.0
34,4.0,0.00039892276297049485,0.1,128.0,0.0
35,8.0,5.122052682375344e-05,0.1,128.0,0.0
36,2.0,0.03154601912726374,0.001,16.0,1.0
37,4.0,0.034007158787811506,0.001,16.0,1.0
38,8.0,0.04728671009926235,0.001,16.0,1.0
39,2.0,0.011714005240184419,0.001,32.0,1.0
40,4.0,0.01582906745812472,0.001,32.0,1.0
41,8.0,0.029905220712809003,0.001,32.0,1.0
42,2.0,0.009015748825143366,0.001,64.0,1.0
43,4.0,0.006025005186743596,0.001,64.0,1.0
44,8.0,0.016806702622595954,0.001,64.0,1.0
45,2.0,0.002879494787467753,0.001,128.0,1.0
46,4.0,0.0043710218194653,0.001,128.0,1.0
47,8.0,0.011357301188742413,0.001,128.0,1.0
48,2.0,0.0019657144747564897,0.01,16.0,1.0
49,4.0,0.0010642022038262118,0.01,16.0,1.0
50,8.0,0.0007478741463273764,0.01,16.0,1.0
51,2.0,0.0008776199110263191,0.01,32.0,1.0
52,4.0,0.0007500347068451126,0.01,32.0,1.0
53,8.0,0.0005502740138634929,0.01,32.0,1.0
54,2.0,0.0007345294254585443,0.01,64.0,1.0
55,4.0,0.00023039156247464502,0.01,64.0,1.0
56,8.0,0.00013002072527717033,0.01,64.0,1.0
57,2.0,0.00032319489614832597,0.01,128.0,1.0
58,4.0,7.650136660017511e-05,0.01,128.0,1.0
59,8.0,7.354862057528568e-05,0.01,128.0,1.0
60,2.0,0.000261915655060233,0.1,16.0,1.0
61,4.0,7.580882426255437e-05,0.1,16.0,1.0
62,8.0,6.610893700888162e-05,0.1,16.0,1.0
63,2.0,0.0017932707320570068,0.1,32.0,1.0
64,4.0,9.074495285270078e-05,0.1,32.0,1.0
65,8.0,6.453499864780016e-05,0.1,32.0,1.0
66,2.0,0.0018575199304477258,0.1,64.0,1.0
67,4.0,8.297977761043619e-05,0.1,64.0,1.0
68,8.0,0.00010905743051005309,0.1,64.0,1.0
69,2.0,0.03305029255502364,0.1,128.0,1.0
70,4.0,0.0007942567171994597,0.1,128.0,1.0
71,8.0,5.3727972686722165e-05,0.1,128.0,1.0
72,2.0,0.03732294874156222,0.001,16.0,2.0
73,4.0,0.05194600934491438,0.001,16.0,2.0
74,8.0,0.03462998514228007,0.001,16.0,2.0
75,2.0,0.0169305382296443,0.001,32.0,2.0
76,4.0,0.020949524991652545,0.001,32.0,2.0
77,8.0,0.025463052532252145,0.001,32.0,2.0
78,2.0,0.008530906538533814,0.001,64.0,2.0
79,4.0,0.012677034582285321,0.001,64.0,2.0
80,8.0,0.011561764952014475,0.001,64.0,2.0
81,2.0,0.003948831122697276,0.001,128.0,2.0
82,4.0,0.005298856810173567,0.001,128.0,2.0
83,8.0,0.0052515175330507405,0.001,128.0,2.0
84,2.0,0.00174034179380054,0.01,16.0,2.0
85,4.0,0.0016820129924727714,0.01,16.0,2.0
86,8.0,0.0012402680551852373,0.01,16.0,2.0
87,2.0,0.00033818930130698443,0.01,32.0,2.0
88,4.0,0.0002992601503672845,0.01,32.0,2.0
89,8.0,0.0005875995625769172,0.01,32.0,2.0
90,2.0,0.00033698953869615625,0.01,64.0,2.0
91,4.0,0.00014114770644536132,0.01,64.0,2.0
92,8.0,0.00012332805464907056,0.01,64.0,2.0
93,2.0,0.0001471440717817613,0.01,128.0,2.0
94,4.0,0.00011657645582625478,0.01,128.0,2.0
95,8.0,6.922437687000424e-05,0.01,128.0,2.0
96,2.0,0.0004791547398781404,0.1,16.0,2.0
97,4.0,0.00012309677250039598,0.1,16.0,2.0
98,8.0,0.00010336875985718935,0.1,16.0,2.0
99,2.0,0.007286063600879382,0.1,32.0,2.0
100,4.0,8.41625607041779e-05,0.1,32.0,2.0
101,8.0,5.795510225973832e-05,0.1,32.0,2.0
102,2.0,6.103312925380819e-05,0.1,64.0,2.0
103,4.0,0.00016760644597097244,0.1,64.0,2.0
104,8.0,0.00021047701610608355,0.1,64.0,2.0
105,2.0,0.0001381883360890617,0.1,128.0,2.0
106,4.0,0.001230153816697352,0.1,128.0,2.0
107,8.0,0.00017975666988230145,0.1,128.0,2.0
108,2.0,0.04572652028325726,0.001,16.0,3.0
109,4.0,0.07795673893655047,0.001,16.0,3.0
110,8.0,0.04546333411160637,0.001,16.0,3.0
111,2.0,0.016126444508485934,0.001,32.0,3.0
112,4.0,0.036158754654666954,0.001,32.0,3.0
113,8.0,0.03188319602871642,0.001,32.0,3.0
114,2.0,0.009435448850340703,0.001,64.0,3.0
115,4.0,0.0205522865495261,0.001,64.0,3.0
116,8.0,0.020649755757082913,0.001,64.0,3.0
117,2.0,0.004119388827615801,0.001,128.0,3.0
118,4.0,0.012649585712043679,0.001,128.0,3.0
119,8.0,0.009604129365042728,0.001,128.0,3.0
120,2.0,0.0012877025977050996,0.01,16.0,3.0
121,4.0,0.00151112289099461,0.01,16.0,3.0
122,8.0,0.004145722137764096,0.01,16.0,3.0
123,2.0,0.0009304106146480669,0.01,32.0,3.0
124,4.0,0.0017537227592102306,0.01,32.0,3.0
125,8.0,0.0007367711651193746,0.01,32.0,3.0
126,2.0,0.0005053839259370066,0.01,64.0,3.0
127,4.0,0.0006723043539643506,0.01,64.0,3.0
128,8.0,0.00033282889789381227,0.01,64.0,3.0
129,2.0,0.00021341157587491632,0.01,128.0,3.0
130,4.0,0.0003172978459213696,0.01,128.0,3.0
131,8.0,0.0001527576387161389,0.01,128.0,3.0
132,2.0,0.00037583517961834064,0.1,16.0,3.0
133,4.0,0.00018433905343579894,0.1,16.0,3.0
134,8.0,0.00010369807312278735,0.1,16.0,3.0
135,2.0,0.00018172495337614024,0.1,32.0,3.0
136,4.0,6.065205407674726e-05,0.1,32.0,3.0
137,8.0,8.232901178844793e-05,0.1,32.0,3.0
138,2.0,0.00026833618689766703,0.1,64.0,3.0
139,4.0,0.0003606000220101765,0.1,64.0,3.0
140,8.0,3.663615167598062e-05,0.1,64.0,3.0
141,2.0,0.0014102643985739525,0.1,128.0,3.0
142,4.0,0.00016988526476779953,0.1,128.0,3.0
143,8.0,0.0002616112444015658,0.1,128.0,3.0
144,2.0,0.033912662745398635,0.001,16.0,4.0
145,4.0,0.033436281606554985,0.001,16.0,4.0
146,8.0,0.0368218742968405,0.001,16.0,4.0
147,2.0,0.014965114074156564,0.001,32.0,4.0
148,4.0,0.018437448122045574,0.001,32.0,4.0
149,8.0,0.015215287149390754,0.001,32.0,4.0
150,2.0,0.005428348051603226,0.001,64.0,4.0
151,4.0,0.005746548420146984,0.001,64.0,4.0
152,8.0,0.006027021198807394,0.001,64.0,4.0
153,2.0,0.0027171809650848016,0.001,128.0,4.0
154,4.0,0.0034202805391567595,0.001,128.0,4.0
155,8.0,0.002831749604357516,0.001,128.0,4.0
156,2.0,0.002267733620315352,0.01,16.0,4.0
157,4.0,0.0011939354624380084,0.01,16.0,4.0
158,8.0,0.0008476013112265398,0.01,16.0,4.0
159,2.0,0.0008992069445358699,0.01,32.0,4.0
160,4.0,0.0003110120288671597,0.01,32.0,4.0
161,8.0,0.0003721658465699019,0.01,32.0,4.0
162,2.0,0.00032833024135256624,0.01,64.0,4.0
163,4.0,0.00014154369444654817,0.01,64.0,4.0
164,8.0,0.00012031473563504679,0.01,64.0,4.0
165,2.0,0.00012314053481746027,0.01,128.0,4.0
166,4.0,4.906868365223465e-05,0.01,128.0,4.0
167,8.0,3.305281547107049e-05,0.01,128.0,4.0
168,2.0,0.0007417460917221272,0.1,16.0,4.0
169,4.0,0.00026972500884713717,0.1,16.0,4.0
170,8.0,0.00029504149193492006,0.1,16.0,4.0
171,2.0,9.90939763997791e-05,0.1,32.0,4.0
172,4.0,6.144898917923188e-05,0.1,32.0,4.0
173,8.0,4.520539411768208e-05,0.1,32.0,4.0
174,2.0,0.00023811351489070256,0.1,64.0,4.0
175,4.0,8.524480975157691e-05,0.1,64.0,4.0
176,8.0,7.313822425203398e-05,0.1,64.0,4.0
177,2.0,0.000672512617551119,0.1,128.0,4.0
178,4.0,0.00024236857451101327,0.1,128.0,4.0
179,8.0,0.00012329427066587787,0.1,128.0,4.0
